repository_url,repository_language,repository_watchers
https://github.com/Khan/khan-exercises,JavaScript,1342
https://github.com/WebDevStudios/Custom-Metaboxes-and-Fields-for-WordPress,PHP,1181
https://github.com/phoboslab/Ejecta,Objective-C,1142
https://github.com/desandro/imagesloaded,JavaScript,2248
https://github.com/chocolatey/chocolatey,PowerShell,1118
https://github.com/MattWilcox/Adaptive-Images,PHP,1359
https://github.com/redis-store/redis-store,Ruby,1029
https://github.com/coreyti/showdown,Perl,1647
https://github.com/kanwei/algorithms,Ruby,1128
https://github.com/markdalgleish/stellar.js,JavaScript,1794
https://github.com/mojombo/god,Ruby,1455
https://github.com/sockjs/sockjs-client,JavaScript,1912
https://github.com/emberjs/data,JavaScript,1580
https://github.com/tommoor/tinycon,JavaScript,3558
https://github.com/osxfuse/osxfuse,Shell,1032
https://github.com/rgrove/sanitize,Ruby,1044
https://github.com/dimsemenov/Magnific-Popup,JavaScript,3454
https://github.com/technicalpickles/jeweler,Ruby,1267
https://github.com/jalxob/cool-kitten,JavaScript,1191
https://github.com/opscode/chef,Ruby,2434
https://github.com/robfig/revel,Go,2720
https://github.com/mozilla/brick,JavaScript,1730
https://github.com/janl/mustache.js,JavaScript,5857
https://github.com/leafo/lessphp,PHP,1837
https://github.com/stripe/jquery.payment,CoffeeScript,1836
https://github.com/thomasdavis/best-practices,null,1177
https://github.com/codecomputerlove/PhotoSwipe,JavaScript,1538
https://github.com/tpope/vim-surround,VimL,1695
https://github.com/jonobr1/two.js,JavaScript,2391
https://github.com/github/markup,Ruby,1705
https://github.com/mishoo/UglifyJS2,JavaScript,1794
https://github.com/codylindley/frontend-tools,null,1406
https://github.com/excilys/androidannotations,Java,2207
https://github.com/gotosleep/JASidePanels,Objective-C,2308
https://github.com/PHPOffice/PHPExcel,PHP,1758
https://github.com/twitter/gizzard,Scala,1788
https://github.com/square/objc-TimesSquare,Objective-C,1122
https://github.com/loopj/jquery-tokeninput,JavaScript,1892
https://github.com/theironcook/Backbone.ModelBinder,JavaScript,1174
https://github.com/h5bp/server-configs,JavaScript,1322
https://github.com/CSS-Tricks/AnythingSlider,CSS,1052
https://github.com/component/component,JavaScript,2579
https://github.com/arsduo/koala,Ruby,2112
https://github.com/twitter/activerecord-reputation-system,Ruby,1011
https://github.com/yeoman/yeoman,Shell,5145
https://github.com/bmatzelle/gow,Visual Basic,1922
https://github.com/jeanphix/Ghost.py,JavaScript,1042
https://github.com/loopj/android-async-http,Java,2672
https://github.com/gothfox/Tiny-Tiny-RSS,PHP,1376
https://github.com/ValveSoftware/source-sdk-2013,C++,1019
https://github.com/usablica/front-end-frameworks,CSS,1700
https://github.com/middleman/middleman,Ruby,2672
https://github.com/rapid7/metasploit-framework,Ruby,1593
https://github.com/twitter/finagle,Scala,2266
https://github.com/stig/json-framework,Objective-C,3186
https://github.com/chinchang/hint.css,CSS,2532
https://github.com/nkrode/RedisLive,JavaScript,1479
https://github.com/nathansmith/960-Grid-System,null,2536
https://github.com/josscrowcroft/accounting.js,JavaScript,1446
https://github.com/desandro/isotope,JavaScript,3985
https://github.com/technomancy/leiningen,Clojure,2843
https://github.com/Netflix/Hystrix,Java,1364
https://github.com/aFarkas/html5shiv,JavaScript,3387
https://github.com/kripken/emscripten,C,5591
https://github.com/AdamAtomic/flixel,ActionScript,1070
https://github.com/facebook/hhvm,C++,6744
https://github.com/VerbalExpressions/JSVerbalExpressions,JavaScript,3865
https://github.com/gekitz/UIDevice-with-UniqueIdentifier-for-iOS-5,Objective-C,1223
https://github.com/Mashape/mashape-oauth,JavaScript,1145
https://github.com/WilliamHackmore/linuxgems,Shell,1477
https://github.com/visionmedia/git-extras,Shell,3079
https://github.com/pagespeed/ngx_pagespeed,C++,1850
https://github.com/alexbw/novocaine,Objective-C,1151
https://github.com/photonstorm/phaser,CSS,1194
https://github.com/EightMedia/hammer.js,JavaScript,6401
https://github.com/mitchellh/packer,Go,1759
https://github.com/visionmedia/jade,JavaScript,5760
https://github.com/bower/bower,JavaScript,8095
https://github.com/ai/autoprefixer,JavaScript,1686
https://github.com/rmurphey/jqfundamentals,JavaScript,1147
https://github.com/toddmotto/fireshell,JavaScript,1085
https://github.com/alvarotrigo/fullPage.js,JavaScript,2133
https://github.com/eventmachine/eventmachine,Ruby,2389
https://github.com/davatron5000/FitText.js,JavaScript,3765
https://github.com/mattn/emmet-vim,VimL,1570
https://github.com/geuis/helium-css,CSS,2546
https://github.com/woothemes/woocommerce,PHP,1165
https://github.com/emberjs/ember.js,JavaScript,9015
https://github.com/brotherbard/gitx,Objective-C,1576
https://github.com/subtlepatterns/SubtlePatterns,PHP,1920
https://github.com/raganwald/homoiconic,Ruby,1620
https://github.com/vitch/jScrollPane,JavaScript,1464
https://github.com/probablycorey/wax,C,1259
https://github.com/JakeWharton/Android-ViewPagerIndicator,Java,3002
https://github.com/pydata/pandas,Python,2484
https://github.com/mrdoob/three.js,JavaScript,13839
https://github.com/zmoazeni/csscss,Ruby,2584
https://github.com/mxcl/homebrew,Ruby,15027
https://github.com/benweet/stackedit,JavaScript,2439
https://github.com/rubymotion/BubbleWrap,Ruby,1046
https://github.com/id-Software/DOOM-3-BFG,C++,1257
https://github.com/lojjic/PIE,JavaScript,2417
https://github.com/spray/spray,Scala,1236
https://github.com/LearnBoost/engine.io,JavaScript,1153
https://github.com/kissyteam/kissy,JavaScript,1081
https://github.com/steipete/PSTCollectionView,Objective-C,1712
https://github.com/domesticcatsoftware/DCIntrospect,Objective-C,1760
https://github.com/flatiron/director,JavaScript,1066
https://github.com/MLstate/opalang,OCaml,1204
https://github.com/zeromq/libzmq,C++,1249
https://github.com/alikaragoz/MCSwipeTableViewCell,Objective-C,1366
https://github.com/treeio/treeio,Python,1249
https://github.com/bborn/communityengine,Ruby,1031
https://github.com/brow/leaves,Objective-C,1304
https://github.com/netty/netty,Java,2423
https://github.com/codeparty/derby,JavaScript,2925
https://github.com/boctor/idev-recipes,Objective-C,2404
https://github.com/kif-framework/KIF,Objective-C,2032
https://github.com/omz/DocSets-for-iOS,C,1156
https://github.com/chriso/node.io,JavaScript,1825
https://github.com/meteor/meteor,JavaScript,10920
https://github.com/Shougo/neocomplcache.vim,VimL,1296
https://github.com/sstephenson/sprockets,Ruby,2123
https://github.com/scambra/devise_invitable,Ruby,1017
https://github.com/kirang89/pycrumbs,null,1073
https://github.com/coolwanglu/pdf2htmlEX,C++,2845
https://github.com/fernandezpablo85/scribe-java,Java,1765
https://github.com/alibaba/tengine,C,1426
https://github.com/google/lmctfy,C++,1873
https://github.com/helios-framework/helios,Ruby,3380
https://github.com/jschr/textillate,CSS,1218
https://github.com/LearnBoost/stylus,JavaScript,3794
https://github.com/TrinityCore/TrinityCore,C++,2307
https://github.com/hbons/SparkleShare,C#,2886
